*	* unknown
746215.45	-664235.77
746210.72	-664240.22
746207.39	-664244.72
746205.40	-664248.99
746197.30	-664261.26
746192.89	-664263.56
746185.76	-664265.34
746176.35	-664263.01
746171.43	-664265.67
746153.45	-664285.65
746150.45	-664290.71
746151.96	-664294.42
746156.03	-664298.53
746160.57	-664309.93
746159.49	-664322.01
746158.42	-664324.75
746155.94	-664329.70
746149.51	-664340.18
746146.14	-664349.00
746147.91	-664358.64
746145.29	-664364.98
746131.69	-664365.35
746129.03	-664370.86
746126.22	-664379.40
746124.55	-664387.70
746117.92	-664395.49
746118.16	-664400.01
746115.42	-664404.45
746108.21	-664411.41
746103.52	-664419.51
746099.64	-664417.82
746097.88	-664418.31
746097.53	-664425.11
746095.73	-664430.44
746089.10	-664437.40
746085.15	-664444.06
746082.68	-664445.08
746077.19	-664449.68
746076.02	-664453.67
746071.53	-664453.86
746060.58	-664463.28
746057.28	-664466.76
746049.05	-664469.94
746042.45	-664469.12
746034.03	-664472.18
746026.26	-664476.96
746020.41	-664482.05
746018.34	-664485.63
746014.07	-664489.92
746013.56	-664495.16
746011.47	-664501.23
746011.55	-664510.49
746002.98	-664519.44
745999.75	-664522.17
745999.82	-664526.18
745994.79	-664528.40
745996.50	-664531.38
746000.44	-664533.77
745997.46	-664540.07
745996.30	-664546.16
745988.88	-664551.94
745986.84	-664551.94
745984.91	-664554.48
745980.19	-664557.74
745978.15	-664561.89
745977.21	-664565.08
745972.54	-664568.13
745964.20	-664575.70
745960.97	-664585.52
745959.09	-664600.37
745954.89	-664604.24
745951.44	-664613.36
745951.78	-664616.50
745948.88	-664622.96
745946.44	-664623.28
745943.26	-664626.98
745946.28	-664636.96
745948.92	-664639.67
745947.59	-664646.05
745948.54	-664649.16
745957.02	-664656.44
745957.18	-664660.25
745960.34	-664666.65
745960.29	-664670.74
745955.23	-664672.85
745955.28	-664677.90
745952.95	-664679.88
745951.29	-664683.47
745953.29	-664687.58
745953.04	-664696.04
745952.02	-664697.53
745953.27	-664700.91
745952.90	-664707.12
745949.39	-664710.87
745941.39	-664716.12
745939.25	-664716.76
745939.84	-664723.30
745942.47	-664730.04
745943.15	-664735.26
745941.09	-664739.72
745941.64	-664744.71
745938.28	-664749.00
745937.94	-664751.32
745935.28	-664757.18
745934.23	-664760.41
745932.78	-664763.08
745929.22	-664767.73
745928.57	-664777.11
745930.41	-664778.28
745931.55	-664782.90
745930.46	-664787.41
745930.44	-664796.64
745928.72	-664801.49
745923.81	-664809.53
745928.76	-664813.33
745930.61	-664816.26
745932.00	-664819.49
745933.80	-664819.83
745934.64	-664825.08
745931.41	-664828.76
745929.75	-664845.11
745929.98	-664849.41
745928.94	-664854.25
745929.21	-664862.41
745928.26	-664870.44
745926.73	-664871.71
745927.01	-664876.23
745925.57	-664880.52
745926.66	-664884.05
745923.91	-664894.08
745928.14	-664908.59
745922.37	-664916.43
745921.58	-664919.83
745920.91	-664925.37
745915.86	-664937.78
745915.97	-664942.02
745919.24	-664950.27
745918.58	-664952.98
745918.51	-664957.13
745916.06	-664960.66
745914.94	-664971.63
745918.15	-664976.11
745919.34	-664979.16
745919.54	-664981.48
745921.32	-664985.33
745923.50	-664992.21
745923.45	-664999.16
745925.27	-665004.48
745925.26	-665007.69
745921.04	-665013.62
745919.70	-665016.59
745920.35	-665018.23
745918.30	-665024.16
745914.82	-665028.54
745916.76	-665045.69
745914.95	-665049.21
745914.11	-665057.90
745914.64	-665060.88
745912.51	-665072.09
745915.45	-665077.60
745922.30	-665079.50
745924.88	-665083.24
745937.24	-665087.49
745942.17	-665086.59
745947.89	-665093.24
745947.04	-665096.97
745952.50	-665101.75
745955.64	-665102.65
745966.99	-665114.88
745974.08	-665120.26
745980.69	-665127.83
745983.93	-665133.85
745988.54	-665140.80
745992.44	-665143.31
745998.19	-665150.34
746000.40	-665151.03
746001.62	-665152.63
746004.65	-665151.83
746007.08	-665152.92
746011.39	-665158.15
746017.34	-665159.60
746025.18	-665170.43
746026.31	-665172.68
746030.98	-665175.29
746035.08	-665180.40
746039.62	-665189.86
746042.52	-665192.46
746045.94	-665202.84
746048.36	-665203.70
746048.69	-665206.22
746051.95	-665212.66
746050.20	-665216.01
746055.40	-665223.91
746053.73	-665229.85
746058.17	-665236.29
746058.31	-665238.66
746061.53	-665243.43
746062.19	-665248.79
746066.30	-665250.14
746067.11	-665253.10
746072.58	-665264.89
746080.67	-665277.30
746081.59	-665292.23
746084.34	-665294.59
746085.19	-665297.94
746084.68	-665300.29
746085.49	-665304.10
746087.12	-665307.47
746086.62	-665310.36
746088.16	-665311.74
746086.67	-665314.10
746086.17	-665333.74
746083.24	-665371.81
746039.90	-665467.63
746015.03	-665589.47
746002.57	-665654.37
745987.64	-665732.87
745972.68	-665876.36
*	* unknown
771684.30	-652407.69
771624.84	-652401.92
771560.39	-652411.28
771512.59	-652412.49
771473.27	-652404.23
771438.79	-652397.54
771414.85	-652362.19
771382.23	-652315.02
771353.47	-652277.73
771306.78	-652211.76
771290.76	-652186.17
771246.47	-652137.41
771236.61	-652111.04
771206.30	-652081.79
771178.47	-652064.63
771131.54	-652029.91
771122.17	-652002.82
771115.21	-651966.81
771087.37	-651892.18
771075.06	-651855.60
*	* unknown
780352.35	-651609.88
780318.86	-651589.29
780304.73	-651579.91
780271.73	-651559.34
780248.40	-651544.67
780207.91	-651518.96
780175.21	-651499.01
780120.19	-651463.86
780105.15	-651454.67
780068.91	-651431.61
780041.90	-651414.65
780032.26	-651408.06
780012.34	-651395.75
780007.78	-651392.44
780002.86	-651390.47
779999.76	-651388.43
779995.32	-651385.09
779991.80	-651384.49
779988.33	-651383.53
779985.23	-651381.91
779981.15	-651381.31
779977.64	-651381.09
779973.45	-651380.30
779969.47	-651380.39
779965.93	-651380.69
779961.94	-651380.28
779957.06	-651380.61
779951.75	-651379.92
779946.95	-651379.79
779942.23	-651379.39
779937.59	-651379.65
779929.03	-651379.63
779924.94	-651379.98
779919.75	-651379.80
779916.42	-651379.22
779911.64	-651379.09
779906.84	-651378.61
779903.34	-651379.29
779897.69	-651378.77
779894.18	-651378.33
779889.37	-651379.15
779885.22	-651378.92
779882.22	-651378.99
779877.31	-651378.24
779872.12	-651379.91
779868.14	-651380.74
779862.17	-651382.51
779858.35	-651384.94
779854.72	-651385.72
779848.37	-651387.41
779842.17	-651389.23
779838.17	-651390.76
779827.11	-651393.17
779822.48	-651395.30
779817.57	-651397.47
779813.17	-651399.33
779808.82	-651401.03
779804.70	-651401.34
779801.89	-651400.45
779797.30	-651400.73
779789.98	-651401.37
779786.36	-651400.88
779782.90	-651400.60
779779.48	-651401.95
779773.64	-651401.76
779765.17	-651402.55
779760.19	-651402.21
779749.15	-651403.50
779743.71	-651404.36
779740.01	-651404.57
779734.24	-651403.30
779730.20	-651404.35
779723.14	-651403.33
779715.00	-651405.32
779710.86	-651405.16
779707.94	-651405.35
779704.49	-651405.10
779700.93	-651405.63
779697.42	-651406.03
779692.90	-651406.24
779680.41	-651407.22
779676.15	-651406.55
