*	* unknown
830055.71	-258080.69
831916.94	-260024.60
*	* unknown
831916.94	-260024.60
834267.34	-262193.42
*	* unknown
834997.24	-271570.59
835763.79	-271818.45
*	* unknown
834559.13	-273308.39
836910.00	-275539.22
*	* unknown
681821.04	-137504.24
681789.17	-137478.21
*	* unknown
681789.17	-137478.21
681821.04	-137504.24
*	* unknown
686622.72	-138901.74
684166.66	-142148.55
*	* unknown
688150.81	-139296.36
685936.78	-138117.03
*	* unknown
679951.96	-146199.95
679958.05	-146182.59
*	* unknown
676042.22	-145261.99
679951.96	-146199.95
*	* unknown
682691.93	-147107.24
682709.11	-147194.11
682804.12	-147179.27
682742.88	-147080.97
682691.93	-147107.24
*	* unknown
683113.18	-146926.15
683161.87	-147129.38
*	* unknown
682181.86	-145273.49
681685.86	-146563.81
*	* unknown
683474.16	-150991.85
674312.23	-147479.32
*	* unknown
678023.33	-163792.67
683474.16	-150991.85
*	* unknown
804371.33	-258618.97
804365.18	-258636.71
804425.38	-258639.43
804422.11	-258607.61
804371.33	-258618.97
*	* unknown
809246.44	-261277.22
813409.08	-260667.09
*	* unknown
809782.01	-266822.19
807076.87	-265012.33
*	* unknown
807076.87	-265012.33
806207.03	-263282.14
*	* unknown
861582.14	-242196.23
862175.88	-245805.02
*	* unknown
852641.55	-277966.82
852465.41	-278445.58
*	* unknown
851988.18	-279556.32
851919.16	-279687.23
*	* unknown
857130.52	-281901.51
856882.56	-282162.68
*	* unknown
744345.10	-196721.56
747246.82	-195582.46
*	* unknown
738599.34	-198212.22
740310.99	-197318.70
*	* unknown
719896.92	-201037.10
719954.45	-200984.95
719898.71	-200891.85
719899.70	-200975.79
719896.92	-201037.10
*	* unknown
715879.36	-205379.46
715691.95	-205679.68
715919.47	-205878.56
716071.92	-205224.48
715879.36	-205379.46
*	* unknown
712340.15	-206940.00
712312.07	-206775.09
711916.54	-206870.24
712084.84	-206956.00
712340.15	-206940.00
*	* unknown
712312.57	-208026.57
712280.26	-207698.90
712118.05	-207799.79
712109.81	-207874.29
712312.57	-208026.57
*	* unknown
712552.14	-208947.78
712842.57	-208217.94
712396.14	-207879.69
712328.18	-208527.84
712552.14	-208947.78
*	* unknown
698534.36	-216796.69
696407.27	-218208.70
*	* unknown
745813.87	-196808.17
745895.73	-196847.65
745954.61	-196739.44
745858.34	-196714.08
745813.87	-196808.17
*	* unknown
751401.99	-198220.70
751711.56	-198168.54
751816.73	-198083.38
751182.74	-197728.80
751401.99	-198220.70
*	* unknown
751597.34	-211268.70
752625.39	-212212.91
*	* unknown
768472.35	-225832.70
768400.40	-225912.40
768474.99	-225990.05
768575.90	-225994.50
768472.35	-225832.70
*	* unknown
773387.10	-226455.71
771546.18	-225362.49
*	* unknown
755635.54	-188923.53
756489.35	-188807.62
*	* unknown
805602.20	-215679.38
806622.46	-215229.62
*	* unknown
799328.22	-223674.71
799345.10	-223733.36
799456.91	-223719.32
799419.09	-223638.10
799328.22	-223674.71
*	* unknown
798947.20	-223865.48
799053.04	-224077.99
799506.03	-224024.85
799387.38	-223843.08
798947.20	-223865.48
*	* unknown
799476.04	-224220.54
799540.94	-224179.52
799518.08	-224111.57
799401.12	-224186.07
799476.04	-224220.54
*	* unknown
834407.02	-251173.08
833428.11	-250919.94
*	* unknown
683096.66	-112627.50
689652.99	-108210.42
*	* unknown
681108.69	-114960.94
683096.66	-112627.50
*	* unknown
679522.96	-120985.40
674607.58	-119214.34
*	* unknown
681988.79	-120773.78
679522.96	-120985.40
*	* unknown
685989.60	-122988.27
684384.25	-121273.28
*	* unknown
682102.63	-126653.98
685393.02	-123851.20
*	* unknown
681955.04	-126736.12
682102.63	-126653.98
*	* unknown
691877.39	-126786.88
691399.87	-126677.85
691688.08	-127571.24
692049.79	-127468.94
691877.39	-126786.88
*	* unknown
852309.29	-94135.38
851135.38	-97572.42
*	* unknown
858676.78	-96751.05
855743.19	-93943.88
*	* unknown
850385.34	-112355.46
853046.97	-117640.82
*	* unknown
879778.99	-86596.91
879777.17	-86263.27
879657.44	-86267.61
879651.90	-86494.74
879778.99	-86596.91
*	* unknown
