*	* * *
775432.56	-792866.84
769125.98	-788754.75
758302.91	-788608.23
745454.59	-774300.85
745395.53	-769293.15
742034.41	-766669.47
735352.54	-750720.49
726238.08	-741875.61
730803.96	-738136.40
736855.03	-724141.14
732222.40	-720672.26
731224.89	-716108.24
714127.80	-707090.69
714047.44	-704173.87
709775.33	-700746.46
709357.62	-693978.34
705846.01	-688412.05
702026.34	-685540.21
703048.80	-680856.83
700925.76	-677068.90
706846.99	-677274.82
718057.94	-693090.71
719136.60	-684883.59
724056.89	-675728.41
736685.89	-665156.35
745619.48	-664858.89
754199.20	-658922.96
763965.47	-664163.48
770476.00	-652029.55
780836.63	-651264.28
785564.29	-641889.75
789627.17	-641926.66
795212.13	-635378.55
800301.15	-638239.66
803741.12	-635016.46
806143.40	-626429.89
814189.39	-623022.73
829058.50	-621910.32
837975.56	-611911.57
866280.60	-599465.47
866959.38	-596478.68
857632.83	-589222.32
860644.27	-581788.00
*	* * *
860644.27	-581788.00
868044.19	-584692.98
873465.39	-582108.58
881172.43	-588026.87
880684.11	-595540.17
885389.04	-595326.40
884574.51	-602991.89
895951.15	-606076.69
899533.34	-600261.03
*	* * *
-93421.76	-647249.34
-85014.44	-648034.09
-89386.17	-635180.80
-87009.14	-629964.67
-81457.06	-630537.24
-82670.38	-628002.77
-85674.73	-626273.40
-86927.59	-623409.40
-83391.99	-610136.43
-81863.89	-607208.19
-82519.95	-603731.30
-81496.17	-589650.93
-77290.48	-581444.99
-77213.47	-570202.79
-72207.35	-568967.55
-65907.69	-563790.50
-62002.21	-562237.80
-39446.36	-558972.24
-31965.19	-557994.28
-3264.20	-554109.78
*	* * *
14339.54	-601259.10
4306.23	-588011.22
-715.10	-586083.94
-1470.45	-575155.14
329.98	-570213.72
-3264.20	-554109.78
*	* * *
-3264.20	-554109.78
1320.63	-552268.16
4986.15	-550500.45
7148.16	-549958.58
9060.05	-549178.99
12606.60	-547638.85
41044.10	-533479.16
47778.39	-529267.54
60328.62	-529006.99
*	* * *
60328.62	-529006.99
60122.25	-540195.55
68450.51	-544387.20
71487.02	-539713.78
76530.28	-538984.62
93909.33	-551395.96
102921.39	-550705.84
112694.55	-547003.75
117425.14	-544286.06
121549.60	-539976.15
123098.04	-538356.64
*	* * *
123098.04	-538356.64
123689.99	-537746.28
124050.29	-535350.84
*	* * *
60328.62	-529006.99
71693.28	-526257.51
*	* * *
71693.28	-526257.51
95719.91	-536574.11
106215.12	-530774.76
113781.73	-536473.97
120249.68	-535502.47
123098.04	-538356.64
*	* * *
161229.31	-531500.96
163799.96	-536709.95
167081.55	-534772.24
*	* * *
167081.55	-534772.24
163875.16	-530901.16
161229.31	-531500.96
*	* * *
167629.96	-527168.86
167980.14	-533335.03
171984.95	-536258.71
183039.29	-528667.89
186936.76	-534863.81
185427.40	-540195.65
188964.09	-547678.05
194755.37	-549506.59
195152.77	-555139.63
214479.19	-552702.14
217823.88	-556121.93
218747.85	-561806.45
237843.70	-570798.86
234316.48	-581823.14
231517.27	-587603.66
228346.31	-596897.66
221997.21	-603657.98
224019.15	-610106.06
223124.35	-616426.96
230076.27	-614944.12
238649.93	-617829.83
248185.08	-618614.09
*	* * *
124050.29	-535350.84
126670.61	-535463.07
135719.13	-537631.25
135434.91	-528375.31
142804.28	-525152.54
145802.36	-525674.86
146760.56	-531198.40
155525.96	-532359.11
162890.62	-524140.98
167629.96	-527168.86
*	* * *
548885.18	-43526.44
540898.78	-58394.21
529886.24	-60761.22
522135.54	-57078.72
531155.69	-68120.33
521929.23	-79688.97
521835.49	-86090.50
518253.81	-91406.77
520613.98	-104257.68
526844.75	-108888.63
521405.58	-116429.35
512202.26	-120229.58
512192.85	-129511.98
509658.59	-133517.59
522127.71	-137446.75
522038.28	-132237.81
528070.66	-129841.29
540833.77	-138348.86
546599.43	-151202.48
541266.52	-154696.59
528553.35	-149748.59
524904.72	-154858.49
516704.47	-149749.11
504941.99	-157296.54
*	* * *
189851.40	-326045.69
188895.96	-329333.68
185900.18	-328175.87
188448.20	-324359.42
189851.40	-326045.69
*	* * *
248185.08	-618614.09
247788.79	-612810.15
252789.16	-606729.08
254334.34	-600424.31
250359.69	-597661.47
249158.21	-592010.39
241890.47	-590967.72
239867.69	-585475.99
241777.67	-582466.47
246333.98	-584066.46
262924.42	-569245.06
256627.95	-569461.35
255915.47	-561979.55
267939.06	-548487.50
267653.44	-530519.84
261176.16	-520516.06
261380.84	-514056.81
251343.14	-502677.47
253442.50	-500141.04
252909.32	-493295.53
260015.19	-490359.83
266508.83	-492286.82
267982.96	-486003.81
284666.70	-495553.18
285700.99	-491755.53
311289.88	-486292.63
315310.80	-478468.23
306826.74	-470971.01
311927.36	-463387.09
318975.92	-462836.37
329049.46	-452278.30
334426.06	-450336.16
332504.56	-444418.91
335020.33	-435085.37
330757.48	-425426.07
325608.30	-426634.76
309918.33	-420580.92
312749.61	-410556.38
311695.40	-404275.64
332603.13	-404155.81
336029.19	-402201.07
338293.13	-384427.91
339849.34	-381439.70
348255.17	-364823.67
349093.88	-350099.34
350249.13	-335170.24
*	* * *
196861.11	-323426.14
192183.67	-327495.78
189765.13	-325728.89
190256.16	-324673.14
196237.65	-321377.49
196861.11	-323426.14
*	* * *
203609.09	-320062.68
198160.35	-322361.94
197448.07	-320278.09
202308.39	-317004.02
203609.09	-320062.68
*	* * *
328215.36	-314998.25
330813.04	-322375.21
335754.94	-326433.43
341559.67	-328309.26
342302.47	-333163.38
350249.13	-335170.24
*	* * *
225790.21	-308859.45
219156.27	-311973.10
216866.68	-311527.23
210525.82	-313756.07
209230.70	-312677.40
212834.57	-308455.50
226468.33	-306136.25
233758.15	-304391.69
235153.86	-306398.21
229795.54	-308851.45
225790.21	-308859.45
*	* * *
124050.29	-535350.84
105512.32	-524273.91
94046.04	-530112.83
85868.23	-522521.47
75672.25	-521678.09
69263.78	-511253.55
77278.09	-505716.51
95490.86	-506010.38
115602.03	-526356.95
122302.02	-526834.75
121180.06	-519598.20
109301.12	-510343.71
112219.64	-505411.38
97977.47	-496548.08
88732.61	-494575.18
90864.59	-490287.56
99491.92	-487895.04
104072.47	-481452.49
114969.94	-479636.85
115818.10	-473346.41
113309.15	-465720.85
123089.64	-462079.65
125930.06	-458987.48
128725.76	-456400.81
142784.65	-442304.28
152842.50	-426839.91
158759.30	-414701.04
163696.59	-399356.85
168433.29	-378567.26
171195.87	-372381.01
176901.26	-355836.33
186341.11	-364207.07
206817.11	-353603.76
220696.73	-344771.76
225343.29	-337668.80
228024.28	-331088.33
239813.77	-321242.80
242049.13	-320394.68
260716.85	-313259.01
281273.88	-311816.31
289602.44	-313476.89
320843.10	-308043.97
327450.69	-310491.49
328215.36	-314998.25
*	* * *
244153.33	-302244.05
251532.98	-303928.57
259420.64	-304012.39
259398.57	-306187.06
255312.11	-306960.14
249649.42	-306024.97
243741.97	-307643.09
241484.68	-304684.50
244153.33	-302244.05
*	* * *
286630.64	-304667.95
278261.40	-304540.38
277670.31	-303557.62
278969.13	-301075.52
287535.39	-300776.62
286630.64	-304667.95
*	* * *
323239.06	-291591.03
318216.12	-296939.40
314941.05	-294637.05
314362.92	-292544.71
321589.74	-290460.88
323239.06	-291591.03
*	* * *
331405.48	-288076.97
330705.36	-290065.49
329735.85	-289657.86
328992.50	-288275.03
329123.03	-287716.53
